budget,homepage,id,original_language,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,genre1,genre2,genre3,genre4,genre5,genre6,genre7
25000000,http://www.theofficialjohncarpenter.com/big-trouble-in-little-china/,6978,en,29.796394,5/30/1986,11000000,99,Released,Big Trouble in Little China,7.1,705,28,12,35,14,,,
0,,10771,en,21.549232,9/27/2002,0,98,Released,The Tuxedo,5.3,483,53,28,35,878,,,
2300000,,3766,en,8.055084,12/24/1947,0,87,Released,The Lady from Shanghai,7.2,102,80,18,9648,,,,
20000000,,8872,en,21.815122,2/14/1992,121697323,94,Released,Wayne's World,6.5,728,10402,35,,,,,
60000000,http://www.stateofplaymovie.net/,16995,en,21.685719,4/17/2009,87784194,127,Released,State of Play,6.7,484,28,,,,,,
70000000,,857,en,76.041867,7/24/1998,481840909,169,Released,Saving Private Ryan,7.9,5048,18,36,10752,,,,
70000000,http://www.sonypictures.com/movies/xxx/,7451,en,46.217769,8/9/2002,277448382,124,Released,xXx,5.8,1424,28,12,53,,,,
42000000,,18480,en,16.122168,7/8/2009,0,83,Released,Brüno,5.4,518,35,,,,,,
19000000,http://www2.warnerbros.com/acinderellastory/index.html,11247,en,25.28132,7/10/2004,70067909,95,Released,A Cinderella Story,6.1,713,35,,,,,,
60000000,,2749,en,15.205371,3/1/2001,56359980,120,Released,15 Minutes,5.7,191,28,80,53,,,,
40000000,,8007,en,24.012986,11/17/2001,91753202,106,Released,Behind Enemy Lines,6,457,28,18,53,10752,,,
0,,10934,en,12.309718,4/30/2003,0,113,Released,Under the Tuscan Sun,6.4,172,35,18,10749,,,,
10000000,http://www.thejonesesmovie.com/,41479,en,14.979375,9/13/2009,7022728,96,Released,The Joneses,6.1,210,35,18,,,,,
12000000,,12479,en,2.695896,2/13/1999,0,110,Released,Breakfast of Champions,5.2,28,35,,,,,,
2000000,,28260,en,7.502934,10/1/1993,54207,97,Released,Return of the Living Dead 3,5.9,88,35,878,10749,27,,,
25000000,,10136,en,15.26213,12/12/1986,79817939,94,Released,The Golden Child,5.6,304,28,12,35,,,,
23000000,,746,en,21.189028,10/21/1987,43984230,163,Released,The Last Emperor,7.4,355,18,36,,,,,
43000000,,4379,en,10.411996,5/13/2005,154749918,101,Released,Monster-in-Law,5.6,406,10749,35,,,,,
0,,15173,en,1.446172,10/4/2002,0,82,Released,Jonah: A VeggieTales Movie,6.4,22,28,12,16,35,10751,14,10749
0,,14043,en,5.0348,6/15/2007,0,99,Released,Nancy Drew,5.8,143,28,12,80,10751,9648,53,
20000000,http://www.12rounds-movie.com/,17134,en,15.66135,3/19/2009,17280326,108,Released,12 Rounds,5.7,220,28,12,18,53,,,
30000000,,9042,en,10.756266,8/25/2005,15007991,97,Released,The Cave,5.1,202,28,12,27,53,,,
26000000,,15028,en,5.894163,3/17/2002,38793283,94,Released,Clockstoppers,4.9,89,12,10751,878,53,,,
16500000,,4032,en,20.935169,11/27/1991,0,102,Released,My Girl,7,428,35,18,10751,,,,
30000000,,9013,en,12.821329,7/20/1988,38413606,126,Released,Midnight Run,7.2,238,12,35,80,,,,
5000000,http://apollo18movie.net/,50357,en,17.028252,7/20/2011,25562924,86,Released,Apollo 18,5,356,27,53,878,,,,
20000000,,6963,en,14.031377,10/20/2005,12482775,101,Released,The Weather Man,6,289,35,18,,,,,
12000000,,3179,en,12.60629,12/15/1996,0,81,Released,Beavis and Butt-Head Do America,6.5,168,16,35,,,,,
50000000,,9624,en,9.114168,2/18/1994,49000000,102,Released,On Deadly Ground,4.5,104,28,53,,,,,
15000000,http://www.newline.com/properties/knockaroundguys.html,7501,en,8.113634,9/7/2001,12000000,92,Released,Knockaround Guys,5.9,97,80,53,,,,,
73000000,,8688,en,20.790703,8/7/1998,103891409,98,Released,Snake Eyes,5.8,327,80,9648,,,,,
15000000,http://www.moanmovie.com/,7874,en,11.429607,12/8/2006,10903846,116,Released,Black Snake Moan,6.6,243,18,,,,,,
54000000,http://www.warnerbros.com/blade-ii,36586,en,67.169587,3/22/2002,155010032,117,Released,Blade II,6.2,1528,14,27,28,53,,,
0,,11137,en,17.943945,3/28/2004,0,111,Released,The Prince & Me,5.9,278,35,10749,,,,,
38000000,,10534,en,10.047579,2/2/1996,10300000,129,Released,White Squall,6.3,86,28,18,,,,,
25000000,,38543,en,12.31708,3/3/2011,0,121,Released,Ironclad,6.2,227,10749,12,28,36,,,
0,,70670,en,20.821846,8/4/2011,15699707,100,Released,Headhunters,7.1,399,53,80,,,,,
30000000,,243,en,23.982956,3/17/2000,47126295,113,Released,High Fidelity,7,628,35,18,10749,10402,,,
90000000,http://www.nutcrackerin3d.com/,49852,en,3.593349,11/24/2010,16178959,110,Released,The Nutcracker: The Untold Story,5.4,50,14,28,10751,,,,
15000000,http://www.intothewild.com/,5915,en,43.644978,9/11/2007,56255142,148,Released,Into the Wild,7.8,3045,12,18,,,,,
0,,16016,en,1.776624,9/26/2008,0,90,Released,Journey to Saturn,4.9,10,28,12,16,35,878,,
45000000,http://www.johnnyenglishreborn.com/,58233,en,35.6585,9/15/2011,160078586,101,Released,Johnny English Reborn,6,1007,80,12,28,35,53,,
48000000,http://www.indianajones.com/crusade,89,en,80.972475,5/24/1989,474171806,127,Released,Indiana Jones and the Last Crusade,7.6,3152,12,28,,,,,
110000000,http://www.mgm.com/view/movie/2029/Tomorrow-Never-Dies/,714,en,42.887121,12/11/1997,333011068,119,Released,Tomorrow Never Dies,6,925,12,28,53,,,,
160000000,http://www.x-menfirstclassmovie.com/,49538,en,3.195174,5/24/2011,353624124,132,Released,X-Men: First Class,7.1,5181,28,878,12,,,,
1455000,,39209,en,3.598457,11/6/1968,2620000,113,Released,Shalako,5.4,12,37,,,,,,
110000000,,10204,en,22.643776,6/16/2004,72178895,120,Released,Around the World in 80 Days,5.7,672,28,12,35,,,,
70000000,http://www.inglouriousbasterds-movie.com/,16869,en,72.595961,8/18/2009,319131050,153,Released,Inglourious Basterds,7.9,6430,18,28,53,10752,,,
52000000,http://www.frompariswithlovefilm.com/,26389,en,27.916284,2/5/2010,52826594,92,Released,From Paris with Love,6.1,675,28,80,53,,,,
15000000,http://www.thequeenmovie.co.uk/,1165,en,19.113278,9/15/2006,123384128,103,Released,The Queen,6.8,338,18,,,,,,
25000000,,1985,en,20.679652,8/31/2005,82466670,129,Released,The Constant Gardener,6.8,417,18,9648,53,,,,
150000000,http://www.missionimpossible.com/,956,en,63.079003,5/3/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,12,28,53,,,,
27500000,http://www.mgm.com/view/movie/1394/Octopussy/,700,en,25.633663,6/5/1983,187500000,131,Released,Octopussy,6.2,527,12,28,53,,,,
68000000,,853,en,41.273567,3/13/2001,96976270,131,Released,Enemy at the Gates,7.2,999,10752,,,,,,
150000000,http://www.missionimpossible.com,177677,en,114.522237,7/23/2015,682330139,131,Released,Mission: Impossible - Rogue Nation,7.1,3224,28,12,53,,,,
0,,42586,en,0.816883,1/1/1970,0,107,Released,Darling Lili,4.9,8,18,35,53,10402,10749,,
0,,9026,en,7.250379,5/17/2002,0,97,Released,The Importance of Being Earnest,6.7,127,35,18,36,10749,,,
50000000,,145220,en,14.808304,3/20/2014,80383290,112,Released,Muppets Most Wanted,6.2,316,35,12,80,10751,,,
5500000,,20455,en,3.7387,3/17/2000,0,82,Released,Digimon: The Movie,6.2,72,14,16,878,10751,,,
5800000,,3482,en,4.49029,9/21/1964,6800000,133,Released,The Train,7.2,72,28,18,53,10752,,,
12000000,,9281,en,19.195399,2/8/1985,68706993,113,Released,Witness,7,375,80,18,10749,53,,,
33000000,,817,en,18.316151,6/8/1999,310940086,95,Released,Austin Powers: The Spy Who Shagged Me,6.2,1011,12,35,80,878,,,
15000000,http://www.krampusthefilm.com/,287903,en,31.565117,11/26/2015,61548707,98,Released,Krampus,5.9,584,27,35,14,,,,
102000000,,9705,en,36.788745,6/7/2001,147080413,99,Released,Swordfish,6.1,932,28,80,53,,,,
250000,,431,en,44.656151,9/9/1997,501818,90,Released,Cube,6.9,1069,53,878,9648,,,,
0,,34697,en,1.063615,2/5/1982,0,107,Released,Butterfly,5,12,80,18,,,,,
0,,22530,en,1.039149,1/1/2008,0,95,Released,Bled,3.8,4,27,,,,,,
90000000,,10357,en,19.836124,4/25/1997,0,104,Released,Volcano,5.2,376,878,28,18,53,,,
4000000,,242575,en,1.771584,10/18/2013,0,119,Released,"Guten Tag, Ramón",8.1,18,18,,,,,,
32000000,,18254,en,4.602185,12/25/1981,40382659,195,Released,Reds,7.1,67,18,36,,,,,
34000000,http://www.nwave.com/films/3d-feature-films/13-films-cat/feature/95-the-house-of-magic-3d,202575,en,12.867326,12/24/2013,0,85,Released,Thunder and the House of Magic,6.3,121,10751,14,16,12,,,
11000000,,3175,en,29.543331,12/18/1975,20000000,184,Released,Barry Lyndon,7.7,505,18,10749,10752,,,,
878000,,289,en,43.729123,11/26/1942,10462500,102,Released,Casablanca,7.9,1422,18,10749,,,,,
0,,11535,en,9.306253,2/8/2002,0,98,Released,Rollerball,3.4,106,28,878,53,,,,
8000000,http://theexorcist.warnerbros.com/,9552,en,47.584643,12/26/1973,441306145,122,Released,The Exorcist,7.5,2005,18,27,53,,,,
27000000,,409,en,29.381878,11/14/1996,231976425,162,Released,The English Patient,7,542,18,10749,10752,,,,
45000000,,12412,en,11.387408,9/15/2008,9323833,160,Released,Miracle at St. Anna,6.3,90,18,10752,,,,,
0,,10219,en,2.79483,12/22/1999,0,127,Released,Snow Falling on Cedars,6.3,32,18,10749,,,,,
22000000,http://www.schindlerslist.com/,424,en,104.469351,11/29/1993,321365567,195,Released,Schindler's List,8.3,4329,18,36,10752,,,,
50000000,,9801,en,28.803802,11/10/2004,40203020,108,Released,Bridget Jones: The Edge of Reason,6.1,750,35,10749,,,,,
17000000,http://www.goodboy.com/,21765,en,3.56033,10/10/2003,0,87,Released,Good Boy!,4.7,30,35,10751,878,,,,
0,,51384,en,1.286991,1/1/2008,0,92,Released,"Lovely, Still",6.2,13,18,10749,,,,,
0,,52462,en,1.284741,5/17/2006,0,94,Released,The Pet,5.3,3,18,53,,,,,
0,,25428,en,3.313339,10/5/2003,0,111,Released,I Love Your Work,6.5,2,18,9648,,,,,
11000000,,1590,en,5.062687,9/10/2006,0,104,Released,Copying Beethoven,6.2,42,18,,,,,,
0,,17994,en,7.151154,12/31/1986,0,98,Released,Witchboard,5.9,58,27,,,,,,
0,http://www.travellersandmagicians.com/,37232,en,0.749699,9/9/2003,0,108,Released,Travellers and Magicians,6.8,9,12,18,10769,,,,
28000000,http://www.mgm.com/view/movie/695/For-Your-Eyes-Only/,699,en,26.090746,6/23/1981,195312802,127,Released,For Your Eyes Only,6.3,490,12,28,53,,,,
5000000,,8346,en,18.115566,2/22/2002,368744044,95,Released,My Big Fat Greek Wedding,6.2,671,35,18,10749,,,,
75000000,http://www.immortalsmovie.com/splash/,37958,en,37.917002,11/10/2011,226904017,110,Released,Immortals,5.7,880,14,28,18,,,,
5000000,,24973,en,4.079111,8/25/1954,15000000,139,Released,The Egyptian,6,11,36,18,,,,,
85000000,http://www.nooneissafe.com,59961,en,34.773106,2/9/2012,208076205,115,Released,Safe House,6.3,1345,28,53,,,,,
35000000,,192136,en,15.50957,12/6/2013,27330000,141,Released,Mandela: Long Walk to Freedom,6.5,224,18,36,,,,,
35000000,,9839,en,6.523472,10/23/2003,0,127,Released,Beyond Borders,6.7,110,18,10749,12,10752,,,
15000000,,9829,en,17.50138,4/28/2006,76286096,111,Released,United 93,6.9,367,18,36,80,53,28,,
40000000,http://www.mgm.com/view/movie/1132/The-Living-Daylights/,708,en,23.331459,6/29/1987,191185897,130,Released,The Living Daylights,6.2,440,28,12,53,,,,
15000000,http://www.thehurtlocker-movie.com/,12162,en,47.006162,10/10/2008,42000000,131,Released,The Hurt Locker,7.2,1840,18,53,10752,,,,
100000000,http://www.greenzonemovie.com/,22972,en,30.254021,3/11/2010,94882889,115,Released,Green Zone,6.4,717,10752,28,12,18,53,,
100000000,http://www.sexandthecitymovie.com/,37786,en,18.325897,5/26/2010,288347692,146,Released,Sex and the City 2,5.4,426,35,18,10749,,,,
98000000,,1734,en,41.862983,4/28/2001,433013274,130,Released,The Mummy Returns,6,2206,12,28,14,,,,
75000000,,6415,en,34.973086,9/27/1999,108000000,114,Released,Three Kings,6.6,692,28,12,35,,,,
40000000,http://www.zerodarkthirty-movie.com/site/,97630,en,38.306954,12/19/2012,132820716,157,Released,Zero Dark Thirty,6.7,1702,53,18,36,,,,
52000000,,11817,en,15.20707,3/28/2003,0,104,Released,Bulletproof Monk,5.1,278,28,35,14,,,,
140000000,,944,en,24.855701,7/10/1998,285444603,127,Released,Lethal Weapon 4,6.3,767,28,12,35,80,53,,
60000000,http://contagionmovie.warnerbros.com/,39538,en,38.820858,9/8/2011,137551594,106,Released,Contagion,6.2,1325,18,53,878,,,,
90000000,http://thedeparted.warnerbros.com/,1422,en,63.429157,10/5/2006,289847354,151,Released,The Departed,7.9,4339,18,53,80,,,,
47000000,http://finaldestinationmovie.warnerbros.com/index.html,55779,en,38.555482,8/12/2011,157887643,92,Released,Final Destination 5,5.9,866,27,9648,,,,,
55000000,http://www.sonypictures.com/homevideo/thepursuitofhappyness/,1402,en,80.581367,12/14/2006,307077295,117,Released,The Pursuit of Happyness,7.7,2525,18,,,,,,
1250000,,43266,en,7.70019,10/28/1941,6000000,118,Released,How Green Was My Valley,6.8,72,18,,,,,,
50000000,http://escapeplanmovie.com/,107846,en,44.478043,10/9/2013,122915111,115,Released,Escape Plan,6.7,1659,28,53,,,,,
28000000,http://www.warnerbros.com/blade-runner,78,en,94.056131,6/25/1982,33139618,117,Released,Blade Runner,7.9,3509,878,18,53,,,,
57000000,http://movies.uip.de/corellismandoline/,1722,en,9.061866,8/17/2001,62112895,131,Released,Captain Corelli's Mandolin,5.5,145,18,36,10749,,,,
32000000,,8055,en,33.923786,12/10/2008,113019290,124,Released,The Reader,7.2,813,18,10749,,,,,
28000000,http://30minutesorless.com/,62206,en,25.039383,8/11/2011,40547440,83,Released,30 Minutes or Less,5.6,531,28,12,35,,,,
0,,10741,en,11.706309,9/5/2006,0,120,Released,Bobby,6.4,119,36,18,,,,,
175000000,,9804,en,44.640292,7/28/1995,264218220,135,Released,Waterworld,5.9,992,12,28,,,,,
117000000,http://www.knightanddaymovie.com,37834,en,44.906918,6/15/2010,261930431,109,Released,Knight and Day,5.9,1547,28,35,,,,,
6244087,,576,en,14.970654,6/17/1969,638641,145,Released,The Wild Bunch,7.6,259,12,37,,,,,
45000000,http://www.universalstudiosentertainment.com/unleashed/,10027,en,25.999888,2/2/2005,50871113,103,Released,Unleashed,6.6,518,28,80,,,,,
94000000,,10477,en,8.468586,4/27/2001,54744738,116,Released,Driven,4.5,179,28,,,,,,
0,,8357,en,7.288352,4/23/2004,10000000,109,Released,What the #$*! Do We (K)now!?,5.8,34,99,,,,,,
92000000,,4327,en,40.20395,11/2/2000,264105545,98,Released,Charlie's Angels,5.6,1232,28,12,35,80,53,,
4000000,,5925,en,35.061467,6/20/1963,11744471,172,Released,The Great Escape,7.8,717,12,18,36,53,10752,,
18000000,,9587,en,16.418639,12/21/1994,0,115,Released,Little Women,7,215,18,10749,,,,,
2500000,,76,en,23.672571,1/27/1995,5535405,105,Released,Before Sunrise,7.7,959,18,10749,,,,,
0,,15544,en,8.148187,12/5/2008,0,88,Released,Extreme Movie,3.9,44,35,,,,,,
3000000,,3089,en,5.344815,8/26/1948,9012000,133,Released,Red River,7.3,82,37,,,,,,
38000000,,96721,en,33.003828,9/2/2013,90247624,123,Released,Rush,7.7,2277,18,28,,,,,
18000000,,279,en,31.82675,10/26/1984,51973029,160,Released,Amadeus,7.8,1076,18,36,10402,,,,
110000000,,36658,en,2.871739,4/24/2003,407711549,133,Released,X2,6.8,3506,12,28,878,53,,,
78000000,,8698,en,47.436675,7/11/2003,179265204,110,Released,The League of Extraordinary Gentlemen,5.7,1155,14,28,53,878,,,
28000000,,562,en,66.169628,7/15/1988,140767956,131,Released,Die Hard,7.5,3948,28,53,,,,,
42000000,,2057,en,14.831402,8/3/2001,35402320,118,Released,Original Sin,5.8,198,18,53,9648,10749,,,
35000000,,11519,en,10.032626,12/13/1979,31755742,113,Released,1941,5.6,143,28,35,,,,,
135000000,,10048,en,17.88953,7/28/2005,76932943,121,Released,Stealth,4.9,331,28,,,,,,
0,,30979,en,0.465404,11/25/2009,0,93,Released,The Horse Boy,5.5,2,99,,,,,,
